StudyHours, Attendance, PastScore, Internet, SleepHours, Passed
1,57,44,No,8,Yes
2,70,84,No,6,Yes
6,62,82,Yes,7,No
3,99,45,Yes,8,No
4,54,63,No,8,No
1,55,56,No,4,Yes
8,79,42,No,7,No
7,80,56,No,6,Yes
7,66,60,No,8,No
3,60,32,Yes,8,No
3,69,59,Yes,8,Yes
2,97,50,Yes,4,Yes
1,58,35,Yes,8,Yes
7,51,61,Yes,8,No
7,86,71,No,4,Yes
2,50,91,No,8,No
7,53,61,Yes,7,Yes
8,85,68,No,7,No
1,74,93,Yes,4,Yes
9,52,59,Yes,7,Yes
7,58,92,No,6,No
3,71,60,Yes,8,Yes
8,72,69,Yes,6,No
7,61,62,Yes,7,No
8,59,92,No,4,No
6,83,54,No,4,Yes
9,92,65,Yes,6,No
5,59,53,Yes,7,Yes
3,79,87,No,8,Yes
3,71,68,No,7,No
1,55,75,No,7,Yes
8,99,39,No,4,No
2,51,61,Yes,5,No
3,79,65,Yes,8,No
8,51,57,Yes,8,No
8,81,45,No,4,No
4,91,45,No,7,No
4,65,47,Yes,4,Yes
5,61,37,No,7,Yes
6,50,30,Yes,5,Yes
5,57,91,No,5,Yes
7,97,67,Yes,6,Yes
2,99,74,Yes,7,No
7,62,87,Yes,4,Yes
7,64,30,Yes,4,No
1,93,61,No,4,Yes
7,57,37,Yes,6,Yes
5,59,69,Yes,8,No
3,95,85,Yes,4,Yes
3,54,92,Yes,5,Yes
4,99,65,No,4,Yes
2,68,86,Yes,4,No
2,96,74,Yes,4,Yes
1,87,31,No,8,No
5,60,79,Yes,4,Yes
4,92,58,Yes,8,No
2,69,39,Yes,8,Yes
3,69,56,Yes,6,No
7,70,44,No,5,No
7,67,89,No,4,Yes
4,99,60,No,4,Yes
5,59,50,No,4,Yes
5,83,89,No,8,No
6,75,87,No,7,Yes
9,79,70,Yes,5,No
2,58,75,Yes,4,Yes
5,95,74,Yes,7,Yes
3,80,55,Yes,7,No
4,91,80,No,7,Yes
6,53,65,Yes,5,Yes
8,55,81,Yes,7,Yes
1,63,80,No,4,No
8,53,32,Yes,4,No
7,75,43,Yes,6,No
1,96,78,No,8,No
2,97,30,Yes,7,Yes
3,88,86,Yes,8,Yes
1,66,46,No,8,Yes
9,68,79,Yes,8,No
8,98,43,Yes,8,Yes
2,55,88,Yes,8,No
9,78,32,Yes,4,Yes
7,60,69,Yes,5,No
9,65,63,No,7,No
6,79,38,Yes,7,Yes
6,74,50,Yes,4,No
4,89,54,Yes,4,No
2,60,73,No,8,Yes
7,56,54,No,5,No
5,75,38,No,7,No
6,71,91,Yes,6,Yes
2,74,55,Yes,4,No
5,68,86,Yes,6,No
4,80,66,Yes,7,No
9,75,45,Yes,4,Yes
6,91,66,No,7,Yes
2,90,53,Yes,4,Yes
1,85,55,Yes,7,Yes
5,72,49,No,6,No
9,96,38,No,5,Yes
6,62,58,No,4,Yes
7,74,60,No,6,Yes
5,51,48,No,7,Yes
6,51,49,Yes,6,No
5,65,56,Yes,4,No
9,58,73,Yes,6,Yes
6,77,64,Yes,7,No
8,62,51,Yes,8,Yes
2,84,44,No,5,Yes
9,90,42,Yes,5,No
5,62,33,Yes,8,No
7,80,85,No,4,No
1,70,52,No,6,No
5,81,63,Yes,6,No
2,83,46,Yes,8,No
6,57,57,No,8,Yes
1,90,43,Yes,7,No
3,97,63,No,7,Yes
5,51,86,Yes,5,Yes
4,87,84,No,4,Yes
3,81,66,No,4,Yes
5,89,55,No,8,Yes
8,77,90,Yes,5,No
4,86,81,No,5,No
1,90,47,No,7,Yes
7,50,82,Yes,6,Yes
8,90,92,Yes,4,No
3,59,82,Yes,5,Yes
6,53,56,No,7,No
2,84,60,No,7,No
7,59,30,No,7,No
8,96,35,Yes,6,Yes
6,60,40,Yes,5,Yes
6,63,63,No,8,Yes
5,87,92,Yes,8,Yes
8,61,82,Yes,7,Yes
1,94,47,No,7,Yes
4,66,50,No,6,Yes
4,65,48,Yes,7,Yes
3,84,33,No,5,No
3,51,58,Yes,7,Yes
4,60,54,Yes,7,No
1,90,85,No,5,No
2,52,92,No,4,No
9,78,56,Yes,8,Yes
2,67,89,Yes,7,Yes
5,69,78,No,5,Yes
9,96,94,Yes,8,No
9,63,67,Yes,6,Yes
8,83,81,Yes,4,Yes
1,98,30,Yes,7,No
1,80,69,Yes,4,Yes
9,89,50,No,7,No
8,91,44,Yes,7,No
9,67,79,Yes,7,No
7,79,77,No,4,Yes
3,74,61,No,6,No
3,68,78,No,5,No
2,57,74,Yes,5,Yes
5,77,61,Yes,6,No
3,57,33,No,6,Yes
6,80,94,No,7,Yes
2,52,94,No,7,No
3,52,47,No,5,Yes
5,93,83,No,7,Yes
1,71,76,Yes,7,Yes
1,66,35,No,6,Yes
9,85,38,Yes,4,No
7,66,52,Yes,8,Yes
1,63,72,No,8,Yes
8,58,80,No,7,Yes
3,79,54,No,7,Yes
8,70,64,No,8,No
5,61,46,No,6,No
1,86,47,Yes,8,Yes
7,81,56,No,8,No
5,60,44,No,8,Yes
6,69,44,Yes,7,No
6,84,71,No,7,Yes
8,96,63,No,8,Yes
9,95,77,No,7,No
2,60,37,Yes,8,No
9,57,39,No,6,No
9,53,34,No,7,No
7,76,77,No,4,No
1,93,55,No,7,Yes
7,89,52,Yes,6,Yes
5,87,91,No,6,Yes
6,96,42,Yes,7,Yes
7,79,38,No,5,No
5,93,49,No,8,No
7,97,86,No,8,Yes
9,97,53,Yes,6,Yes
3,76,62,No,7,No
8,70,49,No,5,No
2,69,89,Yes,4,No
7,53,77,No,8,No
2,60,93,No,5,No
4,62,59,No,8,Yes
7,58,46,No,7,Yes
3,53,43,Yes,8,Yes
2,61,48,Yes,4,Yes
7,58,88,Yes,7,No
1,62,73,No,6,Yes
8,97,61,No,5,Yes
3,75,40,No,8,Yes
2,87,31,No,7,Yes
3,91,46,Yes,7,Yes
5,62,69,No,8,No
8,88,75,Yes,6,Yes
7,77,33,No,8,Yes
7,68,67,No,6,No
7,73,92,Yes,8,No
8,68,58,No,7,No
1,98,48,Yes,4,No
4,62,58,Yes,4,Yes
6,62,64,No,7,No
9,77,52,Yes,4,Yes
2,51,75,Yes,6,No
1,59,73,No,7,Yes
2,71,77,Yes,6,No
7,62,81,Yes,7,No
3,58,37,No,6,Yes
2,82,84,Yes,6,Yes
7,63,69,No,4,No
2,97,60,Yes,7,Yes
3,69,77,No,8,Yes
7,64,90,No,4,Yes
4,81,81,No,6,Yes
1,82,67,No,6,No
5,66,65,No,8,Yes
9,73,84,Yes,8,No
8,79,42,No,6,Yes
9,62,66,No,8,No
9,96,76,Yes,5,No
7,97,51,No,4,No
4,65,68,Yes,7,No
5,51,87,Yes,8,Yes
1,66,59,No,8,Yes
1,81,47,Yes,5,No
3,92,47,Yes,7,Yes
8,57,68,Yes,5,Yes
2,52,55,No,7,No
4,61,36,Yes,4,Yes
2,69,94,No,8,Yes
5,65,75,No,4,Yes
9,63,47,Yes,7,Yes
1,65,42,No,8,No
5,98,54,Yes,5,No
9,92,37,Yes,6,Yes
1,98,61,No,5,No
9,82,46,No,6,No
8,79,77,No,5,No
4,61,92,Yes,7,No
5,64,69,Yes,4,Yes
5,67,44,Yes,6,Yes
6,77,35,No,7,Yes
7,72,92,Yes,4,No
8,63,37,Yes,4,Yes
8,79,61,Yes,8,Yes
2,82,74,Yes,8,Yes
9,94,81,No,8,No
7,64,42,Yes,6,Yes
4,56,53,No,6,No
4,64,69,Yes,4,No
8,91,43,Yes,6,No
4,95,91,Yes,4,No
6,87,90,No,7,No
5,95,30,No,5,Yes
3,93,61,No,4,No
2,60,42,Yes,4,No
9,78,62,Yes,7,No
9,80,61,No,8,Yes
1,74,85,Yes,8,Yes
3,73,53,Yes,8,Yes
8,68,33,No,4,Yes
6,51,52,Yes,4,No
5,71,58,Yes,6,No
5,69,50,Yes,6,Yes
6,82,59,No,5,No
7,57,49,Yes,5,Yes
1,74,45,No,6,Yes
9,95,78,Yes,4,Yes
3,58,87,No,7,No
4,83,73,No,6,Yes
1,72,54,No,4,Yes
3,54,52,No,6,No
2,74,88,Yes,8,No
2,57,30,No,6,No
1,65,44,Yes,8,No
8,97,81,Yes,4,No
3,94,87,No,8,No
3,64,70,Yes,6,Yes
6,50,73,Yes,8,No
8,71,33,Yes,7,No
9,52,36,Yes,8,No
9,87,75,No,8,Yes
4,63,38,Yes,5,No
5,85,62,Yes,7,Yes
2,67,62,Yes,4,Yes
9,96,33,Yes,8,Yes
8,90,94,Yes,7,Yes
3,67,63,No,4,No
9,52,93,Yes,7,No
3,59,54,No,5,No
9,98,84,Yes,4,No
2,88,38,No,4,No
9,96,46,Yes,8,No
8,50,50,Yes,6,Yes
9,76,89,No,4,Yes
5,76,42,No,4,No
2,60,32,No,5,No
8,98,33,Yes,5,No
6,54,36,No,5,No
8,56,55,No,8,No
5,68,53,No,4,No
2,78,39,Yes,5,Yes
6,64,42,Yes,5,Yes
5,84,73,Yes,7,No
5,96,68,No,7,No
1,86,48,Yes,5,No
2,61,80,Yes,8,Yes
8,79,48,Yes,6,Yes
3,69,81,Yes,7,Yes
3,86,76,No,7,Yes
8,52,59,Yes,4,Yes
8,58,75,No,4,No
2,90,50,No,5,No
8,88,77,No,4,Yes
1,75,91,No,4,No
6,51,87,No,6,Yes
8,72,47,No,8,Yes
3,72,88,Yes,5,Yes
8,70,77,No,6,No
1,65,92,Yes,5,No
9,58,41,No,8,No
9,62,63,Yes,5,No
5,77,90,No,4,No
4,76,82,Yes,8,Yes
6,66,54,Yes,6,Yes
7,87,91,No,6,Yes
5,85,33,No,7,No
9,50,42,No,6,No
3,67,71,No,7,No
7,58,78,Yes,4,Yes
5,62,85,Yes,6,Yes
7,89,76,No,8,Yes
2,94,37,No,7,No
4,64,84,Yes,6,No
2,92,47,No,4,Yes
7,93,64,Yes,8,Yes
2,95,61,No,8,Yes
1,53,53,No,4,Yes
9,82,36,Yes,6,No
1,73,42,Yes,5,Yes
8,85,71,No,6,No
2,90,60,Yes,7,No
8,59,55,No,7,No
3,85,61,Yes,6,No
6,69,81,No,7,No
3,90,49,No,5,Yes
7,94,69,No,5,No
9,93,88,Yes,8,Yes
2,60,43,Yes,7,Yes
5,61,73,Yes,6,No
6,67,77,Yes,8,Yes
4,79,72,No,5,Yes
4,93,45,Yes,8,Yes
4,97,64,Yes,4,Yes
2,86,82,Yes,7,No
4,69,63,No,6,Yes
1,74,32,Yes,5,Yes
6,61,34,Yes,8,No
1,70,39,No,6,No
6,74,81,No,7,No
1,60,58,No,6,No
6,58,60,No,7,No
8,99,66,No,7,Yes
2,74,56,No,7,No
2,84,62,No,8,Yes
4,81,88,Yes,7,No
3,98,93,No,6,Yes
4,63,73,No,4,Yes
7,50,78,No,6,No
1,66,82,No,8,Yes
6,74,78,No,7,No
3,57,92,Yes,4,Yes
7,54,54,Yes,8,No
2,54,33,Yes,5,Yes
2,90,80,Yes,5,Yes
4,84,40,Yes,5,No
1,68,46,Yes,4,No
3,72,58,Yes,6,No
9,58,49,No,4,No
7,79,56,No,4,No
7,99,37,No,4,No
4,65,90,No,5,No
2,82,57,No,6,No
4,51,32,No,4,No
6,63,36,Yes,6,No
3,95,89,No,7,Yes
1,50,33,No,4,Yes
8,75,34,No,4,No
5,74,40,Yes,4,No
5,65,44,Yes,7,Yes
4,64,93,Yes,7,No
6,75,42,No,5,Yes
3,96,36,No,8,Yes
9,93,35,No,6,Yes
5,65,85,Yes,8,Yes
3,63,93,Yes,4,Yes
1,78,79,No,4,No
6,73,59,Yes,5,Yes
2,96,51,No,8,No
3,64,54,Yes,4,Yes
1,68,57,Yes,8,Yes
9,57,68,Yes,5,Yes
8,83,34,No,8,No
2,51,94,Yes,6,Yes
8,76,44,No,5,Yes
9,59,69,No,8,No
1,84,72,No,4,No
5,72,30,Yes,7,Yes
8,98,51,Yes,7,Yes
2,57,91,Yes,5,Yes
4,77,55,No,7,No
7,72,47,Yes,6,Yes
3,53,77,Yes,5,No
5,63,38,No,4,Yes
8,91,30,No,4,No
3,78,38,No,5,No
4,50,52,Yes,7,Yes
9,53,74,Yes,7,Yes
7,81,31,No,4,No
1,82,43,Yes,6,Yes
4,98,67,No,7,No
4,75,69,Yes,6,No
9,66,92,No,7,Yes
6,88,45,Yes,5,No
9,72,35,No,8,Yes
6,81,32,No,4,No
6,64,43,No,5,Yes
5,62,60,Yes,7,Yes
5,51,62,Yes,4,Yes
2,68,30,Yes,8,No
8,73,73,No,8,Yes
8,94,44,No,7,No
1,73,66,No,4,No
8,60,56,No,7,Yes
5,71,77,No,8,No
2,64,56,No,5,Yes
2,59,41,No,5,No
6,90,59,No,6,No
9,76,36,No,8,Yes
1,58,63,Yes,8,Yes
6,77,61,No,7,No
9,50,68,Yes,6,Yes
8,66,72,No,6,Yes
6,80,72,Yes,4,No
3,93,32,No,7,Yes
8,59,75,Yes,5,No
9,86,61,No,4,Yes
1,78,72,No,6,Yes
9,67,32,No,5,No
6,96,92,Yes,8,No
6,87,69,No,7,Yes
4,88,47,Yes,6,Yes
1,98,91,Yes,8,No
8,55,39,Yes,6,Yes
2,89,81,Yes,5,Yes
1,61,75,Yes,4,Yes
2,63,84,No,5,Yes
1,93,75,Yes,7,No
1,59,89,Yes,7,Yes
9,69,55,Yes,6,No
1,64,56,Yes,5,No
4,80,67,No,4,Yes
6,56,51,No,7,No
7,90,55,No,4,Yes
2,59,64,Yes,8,Yes
6,59,80,Yes,6,No
7,97,47,Yes,4,No
2,88,72,No,6,No
2,77,41,Yes,8,Yes
7,79,32,No,4,Yes
1,86,36,Yes,4,Yes
8,52,35,Yes,8,No
3,99,74,No,5,No
6,92,68,Yes,4,No
9,64,80,No,4,No
6,70,38,Yes,7,No
9,86,52,No,5,Yes
7,61,41,Yes,4,Yes
9,53,91,Yes,8,No
2,96,69,Yes,6,No
8,58,83,Yes,8,No
8,88,36,Yes,5,No
2,91,46,No,7,Yes
4,77,79,No,7,No
7,72,53,Yes,7,No
4,94,31,No,8,No
4,89,62,No,6,Yes
6,93,50,No,6,Yes
6,71,82,No,4,No
3,73,75,Yes,6,Yes
9,75,74,No,6,No
2,79,38,No,4,No
6,82,35,Yes,8,No
7,65,80,Yes,8,Yes
9,71,64,Yes,5,No
3,98,82,Yes,8,No
3,99,48,Yes,7,Yes
7,92,54,Yes,7,Yes
4,67,40,Yes,5,No
8,56,46,Yes,6,No
7,99,65,No,5,Yes
5,75,50,Yes,4,Yes
7,57,47,No,5,Yes
3,55,89,Yes,5,No
2,79,47,Yes,7,No
6,88,30,No,4,Yes
2,72,43,Yes,4,Yes
3,81,37,Yes,5,No
6,71,80,No,4,Yes
5,91,89,No,4,No
8,92,63,No,8,No
9,94,65,No,4,No
3,58,91,No,6,Yes
3,80,30,No,4,No
3,56,71,Yes,7,Yes
6,58,30,Yes,8,Yes
1,62,83,Yes,7,Yes
7,52,76,Yes,7,Yes
1,84,68,Yes,6,No
5,82,59,No,8,No
8,70,36,No,5,No
4,80,51,Yes,4,Yes
5,83,79,No,6,No
4,81,74,Yes,6,No
4,84,39,No,5,No
8,64,43,Yes,6,No
2,81,75,Yes,5,Yes
1,55,35,Yes,5,Yes
3,94,50,No,5,No
9,70,91,No,6,Yes
4,82,48,Yes,5,Yes
5,81,91,No,6,Yes
2,68,82,Yes,8,No
4,82,53,Yes,5,No
2,77,85,No,6,Yes
2,80,91,Yes,6,Yes
4,70,63,Yes,6,Yes
6,83,51,Yes,4,Yes
7,64,86,No,4,No
3,63,39,Yes,5,Yes
3,68,37,Yes,8,No
6,92,67,Yes,5,Yes
3,64,91,Yes,7,No
2,55,57,No,7,Yes
8,58,39,Yes,8,No
5,86,74,Yes,8,No
1,69,94,No,8,Yes
3,83,38,No,4,Yes
8,87,34,No,4,No
4,75,39,No,7,No
7,67,41,No,8,Yes
2,77,87,No,6,Yes
7,58,50,Yes,7,Yes
5,81,50,Yes,8,Yes
5,55,94,No,6,No
6,63,32,Yes,8,No
9,77,93,No,5,No
6,73,78,Yes,6,Yes
8,62,46,No,5,Yes
7,92,61,No,4,Yes
9,61,50,Yes,7,No
4,68,36,No,8,Yes
2,70,36,Yes,7,No
7,76,56,No,8,Yes
6,68,37,No,5,No
1,73,57,Yes,6,No
9,75,76,No,6,No
9,94,39,Yes,8,Yes
2,77,62,Yes,5,Yes
3,95,36,Yes,8,Yes
5,67,32,Yes,8,Yes
5,93,43,Yes,8,No
1,85,73,No,6,No
8,91,75,No,8,Yes
8,78,90,Yes,6,Yes
4,66,65,No,4,Yes
7,53,42,Yes,5,Yes
3,93,45,No,4,No
6,94,34,Yes,8,Yes
9,78,67,No,6,No
1,53,79,Yes,5,No
5,59,67,No,7,No
4,74,85,Yes,5,Yes
8,80,92,Yes,5,Yes
1,52,77,No,8,Yes
9,96,88,Yes,4,Yes
6,51,73,Yes,4,No
4,74,84,No,7,Yes
9,98,84,No,8,No
5,55,30,Yes,5,Yes
5,75,37,Yes,4,No
5,57,33,Yes,4,No
1,84,82,Yes,6,No
1,76,87,No,5,Yes
8,74,66,Yes,8,No
8,67,78,Yes,4,No
6,50,48,No,8,Yes
4,97,30,No,5,No
2,88,58,Yes,5,Yes
2,52,62,No,4,Yes
9,53,81,No,7,No
5,90,70,No,8,No
4,86,52,Yes,8,Yes
1,64,34,Yes,6,No
7,57,86,Yes,5,Yes
3,87,35,No,5,Yes
6,99,78,Yes,4,No
5,68,51,Yes,4,Yes
5,96,33,Yes,4,No
5,75,93,No,6,No
1,88,66,Yes,7,Yes
1,59,60,Yes,4,No
3,87,66,Yes,4,No
4,63,74,Yes,4,No
5,98,37,No,6,No
2,90,69,Yes,8,No
8,68,34,Yes,7,No
2,79,57,No,8,Yes
9,54,38,No,5,No
2,80,31,No,5,Yes
9,56,92,No,4,Yes
7,68,80,No,8,No
8,80,60,Yes,6,No
2,88,36,No,7,Yes
7,73,59,No,8,Yes
6,83,87,No,8,No
4,72,32,Yes,7,Yes
7,97,80,Yes,8,Yes
4,94,85,Yes,8,No
2,89,39,No,7,Yes
7,55,90,Yes,6,Yes
8,87,79,No,7,No
2,90,76,No,4,No
5,85,30,Yes,4,No
1,76,86,Yes,4,No
7,60,67,Yes,4,Yes
8,54,91,No,5,Yes
6,66,94,Yes,6,Yes
5,56,91,Yes,5,Yes
6,76,85,Yes,8,Yes
2,96,46,Yes,8,No
1,64,37,Yes,7,Yes
7,95,89,No,4,Yes
7,62,69,No,7,No
2,60,91,Yes,8,Yes
2,94,70,No,4,Yes
1,75,41,No,6,No
8,71,83,No,8,No
8,77,40,Yes,7,Yes
1,73,89,No,7,No
8,78,75,Yes,8,Yes
9,58,67,No,5,Yes
4,91,90,Yes,6,No
1,53,46,No,8,Yes
1,98,65,No,8,No
3,95,36,Yes,7,No
5,67,45,Yes,4,Yes
5,92,43,No,4,Yes
9,65,54,Yes,4,No
2,82,33,Yes,7,No
2,78,58,Yes,4,No
6,88,85,Yes,8,No
9,59,35,No,5,Yes
1,58,30,Yes,5,No
9,80,68,No,5,Yes
9,77,30,No,4,No
9,52,92,Yes,5,No
5,63,86,Yes,4,Yes
9,74,94,Yes,8,Yes
4,64,94,Yes,8,No
2,51,50,No,7,Yes
6,73,59,No,7,Yes
4,63,62,Yes,6,Yes
6,97,77,No,8,Yes
3,56,51,Yes,4,No
6,85,83,No,6,Yes
2,99,33,No,8,No
2,73,84,No,4,No
9,76,73,Yes,8,No
7,86,41,Yes,8,No
3,87,81,No,4,Yes
1,79,94,Yes,8,No
8,76,94,Yes,8,No
6,88,39,No,8,Yes
7,64,47,Yes,7,Yes
9,75,76,Yes,5,Yes
5,50,78,No,8,No
1,53,51,No,4,Yes
7,78,55,No,8,No
5,50,38,No,7,No
3,92,50,Yes,7,No
9,99,92,Yes,8,Yes
1,95,35,No,6,No
1,71,43,No,5,No
1,60,62,Yes,4,Yes
3,59,53,Yes,4,No
6,66,80,Yes,4,Yes
3,85,31,No,4,Yes
8,96,44,No,7,Yes
2,75,64,No,5,Yes
9,97,65,No,8,Yes
3,70,68,Yes,8,Yes
5,62,33,No,6,No
8,58,93,No,8,Yes
2,60,35,Yes,5,No
6,60,86,No,8,No
5,55,59,Yes,7,No
9,50,44,No,8,No
5,55,46,Yes,4,Yes
2,62,47,Yes,4,No
5,71,48,Yes,4,Yes
4,80,53,No,4,No
7,71,77,No,7,Yes
6,86,59,No,7,Yes
2,96,44,No,7,No
5,76,76,No,8,Yes
7,99,73,No,4,Yes
7,63,56,Yes,6,Yes
5,96,93,No,6,Yes
9,54,70,No,4,No
4,85,34,Yes,5,No
3,81,82,Yes,8,No
4,83,37,No,6,No
5,56,51,Yes,7,Yes
6,91,36,No,5,No
3,97,51,Yes,7,No
2,59,75,No,5,Yes
4,99,59,Yes,5,Yes
5,66,45,Yes,8,No
4,79,34,No,7,No
3,70,52,No,7,No
8,62,90,Yes,6,Yes
4,50,34,Yes,4,No
2,50,52,Yes,4,Yes
2,96,54,Yes,6,Yes
1,82,37,No,5,No
4,87,50,Yes,6,Yes
9,74,31,Yes,6,Yes
7,75,51,No,7,No
7,62,93,No,6,Yes
7,77,48,No,5,Yes
8,82,82,No,4,Yes
1,86,81,No,8,No
8,90,76,No,6,Yes
4,79,83,Yes,6,Yes
4,98,73,Yes,7,Yes
4,97,36,Yes,7,No
6,57,30,No,6,No
7,98,92,No,6,No
6,96,68,Yes,5,No
1,50,48,Yes,4,No
8,61,60,No,4,No
7,54,53,No,8,No
6,73,94,Yes,4,Yes
6,55,62,Yes,8,Yes
5,74,88,Yes,7,No
6,50,62,Yes,8,No
9,74,61,Yes,8,No
9,50,88,No,4,Yes
8,81,70,Yes,6,Yes
9,91,41,Yes,7,Yes
8,91,40,No,5,Yes
8,52,48,Yes,8,No
1,98,83,No,8,Yes
5,68,86,No,8,Yes
4,92,71,Yes,6,Yes
2,78,60,Yes,5,No
8,99,81,No,4,No
3,51,31,No,7,No
4,58,67,No,6,Yes
7,66,61,Yes,5,Yes
9,95,39,Yes,7,Yes
2,85,37,Yes,4,No
3,66,49,Yes,7,No
4,98,49,Yes,8,Yes
1,61,38,No,8,Yes
7,69,44,Yes,6,No
2,99,92,Yes,7,Yes
5,52,50,No,8,Yes
1,92,34,Yes,6,Yes
3,99,64,Yes,6,No
2,53,77,Yes,6,No
1,66,91,No,4,No
7,99,64,No,8,No
5,86,50,Yes,8,No
1,95,68,Yes,5,No
6,91,63,Yes,4,No
5,64,44,No,8,No
3,82,35,No,8,No
7,65,85,Yes,5,Yes
9,60,78,Yes,7,Yes
9,69,30,Yes,7,Yes
9,87,94,Yes,4,Yes
2,73,57,No,6,No
3,65,49,No,5,Yes
7,79,77,Yes,5,Yes
5,83,94,No,8,Yes
2,50,80,No,8,No
3,73,72,Yes,5,Yes
6,73,78,Yes,6,Yes
7,58,54,Yes,7,Yes
9,71,70,Yes,4,No
1,61,93,No,7,Yes
7,66,90,Yes,4,No
8,74,41,Yes,6,No
3,77,43,Yes,5,Yes
4,64,63,Yes,6,No
6,79,77,No,5,No
7,76,90,Yes,8,Yes
4,71,64,Yes,4,No
8,59,94,No,8,Yes
5,80,88,Yes,5,Yes
1,76,65,Yes,4,Yes
4,61,48,Yes,4,No
3,95,71,No,8,Yes
9,80,48,Yes,4,Yes
8,81,68,Yes,5,Yes
1,81,81,Yes,5,No
6,90,41,No,8,Yes
9,94,76,Yes,6,No
7,84,65,Yes,5,No
4,95,92,Yes,5,Yes
1,70,80,No,4,No
2,59,72,No,4,Yes
5,65,63,Yes,5,No
5,56,78,Yes,8,Yes
8,53,47,No,6,Yes
6,76,90,Yes,4,No
8,74,86,No,4,Yes
2,80,34,No,6,Yes
3,60,53,No,4,No
6,97,93,Yes,8,No
3,69,88,No,4,No
6,85,67,No,4,No
6,66,62,Yes,5,No
2,94,39,Yes,8,Yes
7,60,66,Yes,8,Yes
2,79,40,No,5,Yes
6,84,53,No,7,No
1,90,50,Yes,6,No
3,87,49,No,8,Yes
2,71,39,Yes,7,No
7,92,76,Yes,6,Yes
4,97,76,Yes,8,Yes
8,76,44,Yes,4,No
6,86,73,Yes,8,No
4,95,91,No,6,No
5,98,35,No,7,No
9,84,33,Yes,4,No
7,53,52,No,6,No
9,65,42,No,6,Yes
7,65,60,Yes,8,No
1,70,45,No,5,Yes
8,75,70,No,5,Yes
4,85,30,Yes,4,Yes
3,68,41,No,6,No
7,66,85,No,7,Yes
3,94,79,No,4,No
8,75,49,No,4,No
6,71,65,No,8,No
5,77,67,Yes,7,No
4,50,51,Yes,6,No
8,93,90,Yes,6,Yes
8,85,79,Yes,6,No
1,92,88,Yes,4,Yes
9,86,49,No,8,No
5,51,65,No,4,No
4,66,44,Yes,5,No
6,89,91,Yes,5,Yes
6,87,32,Yes,6,Yes
2,70,34,No,8,Yes
8,58,85,No,6,Yes
7,62,60,No,6,No
1,60,64,No,4,No
5,65,55,No,6,Yes
6,65,30,No,6,Yes
4,51,36,Yes,8,Yes
2,91,65,No,8,Yes
4,93,54,Yes,8,No
1,57,88,Yes,6,No
7,92,90,No,8,No
2,91,58,No,8,Yes
2,62,47,No,7,Yes
9,66,70,No,7,No
5,88,48,No,5,Yes
2,73,33,No,4,Yes
9,52,94,No,4,Yes
9,79,70,No,8,No
1,62,44,Yes,5,Yes
3,68,83,Yes,5,No
4,56,93,No,7,Yes
7,58,44,Yes,5,Yes
4,68,79,No,6,No
2,94,51,Yes,8,No
7,89,47,Yes,6,No
6,71,31,No,4,No
3,67,65,No,7,Yes
6,72,49,No,6,Yes
6,51,45,Yes,8,No
5,99,59,Yes,6,No
4,99,84,No,6,Yes
1,60,55,Yes,5,Yes
6,80,86,No,7,Yes
2,82,31,Yes,4,No
3,63,85,No,8,No
8,65,91,Yes,8,Yes
6,60,63,No,4,No
3,82,85,No,8,Yes
7,56,84,No,5,No
4,80,49,Yes,6,No
9,97,79,No,5,Yes
5,95,54,Yes,5,Yes
3,96,54,No,5,No
2,63,82,No,4,Yes
2,77,43,No,7,No
3,92,89,Yes,4,Yes
2,65,72,Yes,4,Yes
4,68,91,Yes,5,No
2,66,92,No,7,Yes
9,75,31,Yes,4,No
2,55,83,No,7,No
9,92,45,No,5,No
6,98,84,No,4,No
1,58,72,No,7,Yes
4,99,90,No,8,No
1,66,67,Yes,4,No
6,80,74,Yes,4,No
4,61,80,No,4,Yes
3,72,71,No,7,No
3,54,53,Yes,6,No
9,92,59,No,4,Yes
6,85,66,No,8,No
9,85,82,No,8,No
5,52,92,No,5,Yes
2,73,40,Yes,6,No
8,66,52,No,6,No
5,88,79,Yes,7,Yes
2,75,84,Yes,5,Yes
4,53,84,Yes,7,Yes
9,94,33,Yes,5,No
4,61,83,No,6,No
4,50,90,No,7,Yes
2,70,34,No,5,No
6,68,47,Yes,6,Yes
2,70,73,Yes,6,No
7,67,60,Yes,4,Yes
3,92,50,No,7,Yes
3,52,76,No,4,Yes
5,98,59,No,6,No
3,93,84,Yes,7,Yes
2,81,70,Yes,7,Yes
9,59,74,No,8,No
2,89,59,Yes,5,Yes
2,64,74,Yes,8,No
8,54,74,No,8,Yes
9,53,74,Yes,6,Yes
7,77,84,Yes,5,Yes
3,53,88,No,8,Yes
9,64,34,Yes,8,Yes
3,66,61,Yes,7,Yes
5,93,35,Yes,6,Yes
9,52,55,Yes,8,No
3,59,66,No,5,Yes
7,96,42,No,4,No
1,91,54,Yes,4,No
4,72,42,No,6,No
4,67,49,No,4,No
7,50,89,No,7,No
8,84,50,Yes,7,No
1,80,90,Yes,5,Yes
5,93,55,No,6,Yes
7,50,83,No,6,Yes
4,52,71,No,4,Yes
4,52,40,No,8,Yes
4,86,66,Yes,8,No
6,68,40,No,8,No
7,78,56,Yes,5,No
2,74,63,Yes,6,Yes
5,82,67,Yes,4,Yes
